,focal_pid,pubt,journal,Q,IF,citations
0,20429619,2010,neoplasma,Q3,2.0,44
1,20568892,2010,neoplasma,Q3,2.0,5
2,20845994,2010,neoplasma,Q3,2.0,3
3,19895172,2010,neoplasma,Q3,2.0,2
4,20099976,2010,neoplasma,Q3,2.0,8
5,20429629,2010,neoplasma,Q3,2.0,7
6,19895168,2010,neoplasma,Q3,2.0,3
7,20429621,2010,neoplasma,Q3,2.0,8
8,20845988,2010,neoplasma,Q3,2.0,2
9,20845990,2010,neoplasma,Q3,2.0,28
10,20353276,2010,neoplasma,Q3,2.0,24
11,20845995,2010,neoplasma,Q3,2.0,9
12,19895170,2010,neoplasma,Q3,2.0,12
13,20568898,2010,neoplasma,Q3,2.0,1
14,19895169,2010,neoplasma,Q3,2.0,16
15,20568899,2010,neoplasma,Q3,2.0,0
16,20429620,2010,neoplasma,Q3,2.0,6
17,20845989,2010,neoplasma,Q3,2.0,14
18,19895166,2010,neoplasma,Q3,2.0,1
19,20845991,2010,neoplasma,Q3,2.0,4
20,20429628,2010,neoplasma,Q3,2.0,2
21,20568893,2010,neoplasma,Q3,2.0,3
22,20353269,2010,neoplasma,Q3,2.0,1
23,19895178,2010,neoplasma,Q3,2.0,12
24,20845986,2010,neoplasma,Q3,2.0,0
25,19457630,2010,brain & development,Q3,1.4,0
26,19793632,2010,brain & development,Q3,1.4,16
27,19410403,2010,brain & development,Q3,1.4,5
28,20542395,2010,brain & development,Q3,1.4,28
29,19345027,2010,brain & development,Q3,1.4,3
30,19640662,2010,brain & development,Q3,1.4,6
31,19716245,2010,brain & development,Q3,1.4,3
32,19864096,2010,brain & development,Q3,1.4,6
33,20022721,2010,brain & development,Q3,1.4,8
34,19269120,2010,brain & development,Q3,1.4,7
35,19796886,2010,brain & development,Q3,1.4,18
36,19278800,2010,brain & development,Q3,1.4,8
37,19733990,2010,brain & development,Q3,1.4,2
38,19628347,2010,brain & development,Q3,1.4,9
39,19682809,2010,brain & development,Q3,1.4,2
40,19735987,2010,brain & development,Q3,1.4,10
41,19815358,2010,brain & development,Q3,1.4,3
42,19217229,2010,brain & development,Q3,1.4,17
43,20598460,2010,brain & development,Q3,1.4,0
44,19443152,2010,brain & development,Q3,1.4,2
45,19765926,2010,brain & development,Q3,1.4,2
46,20060252,2010,brain & development,Q3,1.4,5
47,19428206,2010,brain & development,Q3,1.4,10
48,19427150,2010,brain & development,Q3,1.4,8
49,20117687,2010,archives of psychiatric nursing,Q3,2.2,1
50,21111296,2010,archives of psychiatric nursing,Q3,2.2,3
51,21111293,2010,archives of psychiatric nursing,Q3,2.2,0
52,20650370,2010,archives of psychiatric nursing,Q3,2.2,2
53,20303452,2010,archives of psychiatric nursing,Q3,2.2,5
54,20650369,2010,archives of psychiatric nursing,Q3,2.2,1
55,20303449,2010,archives of psychiatric nursing,Q3,2.2,7
56,20851327,2010,archives of psychiatric nursing,Q3,2.2,2
57,21111292,2010,archives of psychiatric nursing,Q3,2.2,9
58,20117686,2010,archives of psychiatric nursing,Q3,2.2,8
59,20488346,2010,archives of psychiatric nursing,Q3,2.2,8
60,20650372,2010,archives of psychiatric nursing,Q3,2.2,0
61,20851321,2010,archives of psychiatric nursing,Q3,2.2,34
62,20117689,2010,archives of psychiatric nursing,Q3,2.2,11
63,20303451,2010,archives of psychiatric nursing,Q3,2.2,0
64,20851322,2010,archives of psychiatric nursing,Q3,2.2,5
65,20117690,2010,archives of psychiatric nursing,Q3,2.2,1
66,20488342,2010,archives of psychiatric nursing,Q3,2.2,1
67,19252988,2010,environmental monitoring and assessment,Q3,2.9,1
68,19496009,2010,environmental monitoring and assessment,Q3,2.9,5
69,19763854,2010,environmental monitoring and assessment,Q3,2.9,2
70,19484365,2010,environmental monitoring and assessment,Q3,2.9,5
71,19921449,2010,environmental monitoring and assessment,Q3,2.9,0
72,19277886,2010,environmental monitoring and assessment,Q3,2.9,4
73,19479332,2010,environmental monitoring and assessment,Q3,2.9,3
