,focal_pid,comparative_pid,focal_score,comparative_score,relation
0,21765844,20074700,1,7,<
1,33999961,36723769,10,3,>
2,12837592,8783021,8,8,≈
3,17270676,30619660,10,6,>
4,15230939,25227734,10,8,>
5,11015406,11375189,9,6,>
6,10869421,12095160,10,7,>
7,12663771,26331681,9,6,>
8,26632267,29494553,10,8,>
9,30964860,29759954,10,10,≈
10,24515910,20086172,6,10,<
11,20495835,28923111,5,6,≈
12,16451851,15773463,9,10,≈
13,15263091,18586962,10,7,>
14,21044602,32105833,7,10,<
15,20220098,30100796,10,7,>
16,17601817,32908529,9,1,>
17,18547439,22853446,8,7,≈
18,31486926,30616453,2,10,<
19,11264380,15046252,5,1,>
20,24051416,27333274,7,2,>
21,18305031,24027335,9,8,≈
22,18319289,17133178,8,9,≈
23,19020092,22970690,10,5,>
24,35396335,37371517,9,8,≈
25,12426349,11786010,1,5,<
26,16945909,18254660,10,9,≈
27,26170166,32955798,10,6,>
28,25981611,31697823,8,10,<
29,11588120,15151517,8,3,>
30,22022421,28955242,7,8,≈
31,21414227,16036768,9,1,>
32,15994810,23056765,8,1,>
33,19898466,24696456,10,10,≈
34,32126127,18799090,9,7,>
35,16162286,27909045,4,9,<
36,20937901,26909123,10,4,>
37,10805754,19596782,5,5,≈
38,20195509,23601558,10,6,>
39,20617177,31843875,9,10,≈
40,28630262,29445758,9,6,>
41,12193654,23370273,10,3,>
42,10823953,36028490,10,10,≈
43,15785734,34344834,10,9,≈
44,22511919,24056453,6,4,>
45,21645996,24173411,8,6,>
46,30157283,29293689,10,10,≈
47,24312187,23454194,8,9,≈
48,21600006,16007580,4,5,≈
49,30048519,33403512,9,8,≈
50,27159648,34737862,10,9,≈
51,22843881,19828957,1,6,<
52,17932512,28810646,7,1,>
53,22929821,17601544,5,10,<
54,28289373,15070770,3,10,<
55,26681935,7818000,2,7,<
56,28839943,12610026,4,10,<
57,19329658,28501892,9,2,>
58,10800761,2155060,1,6,<
59,10887155,27713767,9,1,>
60,16980588,30682134,10,9,≈
61,27683260,21885114,2,10,<
62,28544126,28544126,4,4,≈
63,23821659,27294145,10,7,>
64,12160140,1984507,6,7,≈
65,15770053,9987089,3,10,<
66,23372024,31612429,10,6,>
67,26040699,21962895,10,2,>
68,24913005,17179224,7,10,<
69,20059271,17965719,2,10,<
70,15466419,11864600,7,10,<
71,22238672,9464532,8,9,≈
72,24513612,28103797,10,7,>
73,23861881,33383950,7,7,≈
74,14525676,24314230,8,5,>
75,16945398,14769917,2,9,<
76,22662028,19122668,3,10,<
